id;name;sku;price;stock_quantity;active
1;shell;casket;29287.59;10750;false
2;advanced briefly;last;21136.14;22295;true
3;pop stall;from;22902.1;25915;false
4;oh;before navigate;30872.57;20263;false
5;quirkily aboard ew;aw limping;26273.91;28738;false
6;roughly;gestate warp;24596.79;13462;false
7;creator aboard;victorious bah incidentally;31446.26;10443;true
8;growing lecture;clone;7496.5;1137;true
9;pfft though diligently;wherever;21573.49;2740;true
10;as fabricate schlep;emergent upon;10930.75;27712;false
